pair_idx,speaker_id,gender,direction,transcript,orig_path,trans_path,dur_s
0,908,M,M2F,I LOVE THEE WITH A LOVE I SEEMED TO LOSE WITH MY LOST SAINTS I LOVE THEE WITH TH,./Results/examples/pair_000_orig_M.wav,./Results/examples/pair_000_trans_M2F.wav,6.0
1,1995,F,F2M,THERE MIGHT BE A BIT OF POETRY HERE AND THERE BUT MOST OF THIS PLACE WAS SUCH DE,./Results/examples/pair_001_orig_F.wav,./Results/examples/pair_001_trans_F2M.wav,6.0
2,1188,M,M2F,BUT NOW HERE IS A SUBJECT OF WHICH YOU WILL WONDER AT FIRST WHY TURNER DREW IT A,./Results/examples/pair_002_orig_M.wav,./Results/examples/pair_002_trans_M2F.wav,5.365
3,4446,F,F2M,DO YOU KNOW I THOUGHT THE DANCE A BIT CONSCIOUS TO NIGHT FOR THE FIRST TIME,./Results/examples/pair_003_orig_F.wav,./Results/examples/pair_003_trans_F2M.wav,4.4
4,3575,F,F2M,SATURDAY AFTER SATURDAY COMES ROUND AND I CAN HAVE NO HOPE OF HEARING YOUR KNOCK,./Results/examples/pair_004_orig_F.wav,./Results/examples/pair_004_trans_F2M.wav,6.0
5,2961,F,F2M,OBSERVE AGAIN WHAT CARE THE LAW TOOK IN THE PURSUIT OF WISDOM SEARCHING OUT THE ,./Results/examples/pair_005_orig_F.wav,./Results/examples/pair_005_trans_F2M.wav,6.0
6,2094,F,F2M,OH I'VE NO DOUBT IT'S IN CAPITAL ORDER,./Results/examples/pair_006_orig_F.wav,./Results/examples/pair_006_trans_F2M.wav,2.71
7,1580,F,F2M,WE WANT TO KNOW MISTER GILCHRIST HOW YOU AN HONOURABLE MAN EVER CAME TO COMMIT S,./Results/examples/pair_007_orig_F.wav,./Results/examples/pair_007_trans_F2M.wav,6.0
8,7729,M,M2F,THE BOGUS LEGISLATURE NUMBERED THIRTY SIX MEMBERS,./Results/examples/pair_008_orig_M.wav,./Results/examples/pair_008_trans_M2F.wav,3.285
9,1580,F,F2M,I AM AFRAID THERE ARE NO SIGNS HERE SAID HE,./Results/examples/pair_009_orig_F.wav,./Results/examples/pair_009_trans_F2M.wav,3.295
10,8455,M,M2F,WHEN DO YOU INTEND THAT THE JOHN BRIGHT SHALL START,./Results/examples/pair_010_orig_M.wav,./Results/examples/pair_010_trans_M2F.wav,3.05
11,61,M,M2F,MASTER MONCEUX THE SHERIFF OF NOTTINGHAM WAS MIGHTILY PUT ABOUT WHEN TOLD OF THE,./Results/examples/pair_011_orig_M.wav,./Results/examples/pair_011_trans_M2F.wav,4.775
12,121,F,F2M,O TIS THE FIRST TIS FLATTERY IN MY SEEING AND MY GREAT MIND MOST KINGLY DRINKS I,./Results/examples/pair_012_orig_F.wav,./Results/examples/pair_012_trans_F2M.wav,6.0
13,121,F,F2M,TIED TO A WOMAN,./Results/examples/pair_013_orig_F.wav,./Results/examples/pair_013_trans_F2M.wav,2.49
14,1580,F,F2M,ANYONE IN THE ROOM COULD GET OUT YES SIR,./Results/examples/pair_014_orig_F.wav,./Results/examples/pair_014_trans_F2M.wav,3.845
15,2961,F,F2M,THERE IS A WANT OF FLOW AND OFTEN A DEFECT OF RHYTHM THE MEANING IS SOMETIMES OB,./Results/examples/pair_015_orig_F.wav,./Results/examples/pair_015_trans_F2M.wav,6.0
16,3570,F,F2M,EACH WILL THEREFORE SERVE ABOUT EQUALLY WELL DURING THE EARLIER STAGES OF SOCIAL,./Results/examples/pair_016_orig_F.wav,./Results/examples/pair_016_trans_F2M.wav,5.025
17,7021,M,M2F,AT THE FARTHER END OF THE LARGEST HALL A TABLE WAS SET WITH GOLDEN CUPS AND GOLD,./Results/examples/pair_017_orig_M.wav,./Results/examples/pair_017_trans_M2F.wav,6.0
18,8463,F,F2M,I WANTED NOTHING MORE THAN TO SEE MY COUNTRY AGAIN MY FRIENDS MY MODEST QUARTERS,./Results/examples/pair_018_orig_F.wav,./Results/examples/pair_018_trans_F2M.wav,6.0
19,1188,M,M2F,IT WILL BE WELL FOR YOU IF YOU JOIN NOT WITH THOSE WHO INSTEAD OF KITES FLY FALC,./Results/examples/pair_019_orig_M.wav,./Results/examples/pair_019_trans_M2F.wav,6.0
20,8224,M,M2F,HE PASSED THROUGH HENLEY SAINT ALBANS AND CAME SO NEAR TO LONDON AS HARROW ON TH,./Results/examples/pair_020_orig_M.wav,./Results/examples/pair_020_trans_M2F.wav,6.0
21,2830,M,M2F,WHEN I WAS A YOUNG MAN I THOUGHT PAUL WAS MAKING TOO MUCH OF HIS CALL,./Results/examples/pair_021_orig_M.wav,./Results/examples/pair_021_trans_M2F.wav,3.665
22,7176,M,M2F,LORD JOHN TAKING OUT GOLD CIGARETTE CASE FROM HIS LEFT HAND UPPER WAISTCOAT POCK,./Results/examples/pair_022_orig_M.wav,./Results/examples/pair_022_trans_M2F.wav,5.23
23,61,M,M2F,WHAT IS YOUR NAME LORDING ASKED THE LITTLE STROLLER PRESENTLY,./Results/examples/pair_023_orig_M.wav,./Results/examples/pair_023_trans_M2F.wav,4.315
24,2961,F,F2M,SOME POEMS OF SOLON WERE RECITED BY THE BOYS,./Results/examples/pair_024_orig_F.wav,./Results/examples/pair_024_trans_F2M.wav,3.775
25,672,M,M2F,I KNOW NO SUCH PLACE SAID THE TREE,./Results/examples/pair_025_orig_M.wav,./Results/examples/pair_025_trans_M2F.wav,4.25
26,8455,M,M2F,BUT IN THEIR SELECTION OF A CONSTITUTION THE BRITANNULISTS HAVE UNFORTUNATELY AL,./Results/examples/pair_026_orig_M.wav,./Results/examples/pair_026_trans_M2F.wav,6.0
27,4446,F,F2M,THEY ASKED HIM TO COME TO SEE THEM IN CHELSEA AND THEY SPOKE VERY TENDERLY OF HI,./Results/examples/pair_027_orig_F.wav,./Results/examples/pair_027_trans_F2M.wav,4.66
28,1089,M,M2F,THE RECTOR DID NOT ASK FOR A CATECHISM TO HEAR THE LESSON FROM,./Results/examples/pair_028_orig_M.wav,./Results/examples/pair_028_trans_M2F.wav,4.01
29,237,F,F2M,INDEED HE HAD LOOKED AWAY WITH THE PURPOSE OF NOT SEEING IT,./Results/examples/pair_029_orig_F.wav,./Results/examples/pair_029_trans_F2M.wav,4.09
30,61,M,M2F,HE MADE AN EFFORT TO HIDE HIS CONDITION FROM THEM ALL AND ROBIN FELT HIS FINGERS,./Results/examples/pair_030_orig_M.wav,./Results/examples/pair_030_trans_M2F.wav,5.58
31,4992,F,F2M,NEXT CAME OLIVE'S TURN TO HELP IN THE CEREMONIES,./Results/examples/pair_031_orig_F.wav,./Results/examples/pair_031_trans_F2M.wav,3.73
32,4446,F,F2M,HILDA WAS VERY NICE TO HIM AND HE SAT ON THE EDGE OF HIS CHAIR FLUSHED WITH HIS ,./Results/examples/pair_032_orig_F.wav,./Results/examples/pair_032_trans_F2M.wav,6.0
33,237,F,F2M,I DIDN'T HAVE ANY FEARS IF I WORKED IT RIGHTLY SAID THE OLD GENTLEMAN COMPLACENT,./Results/examples/pair_033_orig_F.wav,./Results/examples/pair_033_trans_F2M.wav,5.04
34,2961,F,F2M,BUT THEY HAVE NOTHING TO DO WITH THE INTERPRETATION OF PLATO AND IN SPIRIT THEY ,./Results/examples/pair_034_orig_F.wav,./Results/examples/pair_034_trans_F2M.wav,6.0
35,4992,F,F2M,SHE MAKES EFFORT AFTER EFFORT TREMBLING WITH EAGERNESS AND WHEN SHE FAILS TO REP,./Results/examples/pair_035_orig_F.wav,./Results/examples/pair_035_trans_F2M.wav,6.0
36,1580,F,F2M,JUST CLOSE THE DOOR SAID HOLMES,./Results/examples/pair_036_orig_F.wav,./Results/examples/pair_036_trans_F2M.wav,2.145
37,1580,F,F2M,HE WAS STILL SUFFERING FROM THIS SUDDEN DISTURBANCE OF THE QUIET ROUTINE OF HIS ,./Results/examples/pair_037_orig_F.wav,./Results/examples/pair_037_trans_F2M.wav,4.36
38,5142,F,F2M,SILAS SLUNK AWAY WITHOUT A WORD OF PROTEST AMBROSE STOOD HIS GROUND EVIDENTLY BE,./Results/examples/pair_038_orig_F.wav,./Results/examples/pair_038_trans_F2M.wav,6.0
